field.latitude,field.longitude,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.covariance0,field.twist.covariance0,,,,%time 
47.1160235,-88.550194,0,-0.002,0.010404,0.010404,,,,1.76E+18
47.1160235,-88.550194,-0.024,-0.025,0.006561,0.006561,,,,1.76E+18
47.1160235,-88.550194,0.019,0.057,0.009025,0.009025,,,,1.76E+18
47.1160236,-88.5501939,0.015,0.022,0.005929,0.005929,,,,1.76E+18
47.1160236,-88.5501939,-0.012,0.036,0.009604,0.009604,,,,1.76E+18
47.1160236,-88.550194,-0.018,-0.024,0.005476,0.005476,,,,1.76E+18
47.1160236,-88.5501939,0.015,0.023,0.0064,0.0064,,,,1.76E+18
47.1160236,-88.550194,-0.033,0.017,0.006241,0.006241,,,,1.76E+18
47.1160236,-88.550194,0.015,0.01,0.004624,0.004624,,,,1.76E+18
47.1160236,-88.5501939,0.032,0.022,0.004761,0.004761,,,,1.76E+18
47.1160236,-88.5501939,-0.032,-0.009,0.003721,0.003721,,,,1.76E+18
47.1160235,-88.550194,-0.007,-0.049,0.009604,0.009604,,,,1.76E+18
47.1160234,-88.550194,-0.019,-0.008,0.004096,0.004096,,,,1.76E+18
47.1160234,-88.5501939,0.052,-0.007,0.004356,0.004356,,,,1.76E+18
47.1160234,-88.5501939,0.01,-0.047,0.010816,0.010816,,,,1.76E+18
47.1160234,-88.5501939,0.032,-0.034,0.009801,0.009801,,,,1.76E+18
47.1160233,-88.5501939,0.021,-0.075,0.011025,0.011025,,,,1.76E+18
47.1160234,-88.5501939,-0.031,0.015,0.005476,0.005476,,,,1.76E+18
47.1160233,-88.5501939,0.049,-0.063,0.008836,0.008836,,,,1.76E+18
47.1160233,-88.5501939,-0.024,0.019,0.006241,0.006241,,,,1.76E+18
47.1160234,-88.5501938,0.063,-0.033,0.006889,0.006889,,,,1.76E+18
47.1160234,-88.5501938,-0.019,0.017,0.007225,0.007225,,,,1.76E+18
47.1160234,-88.5501939,-0.001,-0.001,0.007921,0.007921,,,,1.76E+18
47.1160234,-88.5501939,0.006,-0.027,0.008836,0.008836,,,,1.76E+18
47.1160234,-88.5501938,0.008,-0.022,0.007921,0.007921,,,,1.76E+18
47.1160234,-88.5501938,-0.005,-0.021,0.0081,0.0081,,,,1.76E+18
47.1160233,-88.5501938,0.021,-0.05,0.009409,0.009409,,,,1.76E+18
47.1160234,-88.5501938,-0.009,0.034,0.01,0.01,,,,1.76E+18
47.1160234,-88.5501938,0.016,-0.004,0.004624,0.004624,,,,1.76E+18
47.1160234,-88.5501938,-0.003,-0.013,0.008836,0.008836,,,,1.76E+18
47.1160234,-88.5501939,-0.008,0.007,0.007569,0.007569,,,,1.76E+18
47.1160234,-88.5501938,0.034,0.049,0.006241,0.006241,,,,1.76E+18
47.1160234,-88.5501938,-0.006,-0.01,0.006084,0.006084,,,,1.76E+18
47.1160234,-88.5501938,0.023,-0.008,0.005476,0.005476,,,,1.76E+18
47.1160234,-88.5501938,-0.012,0.006,0.005041,0.005041,,,,1.76E+18
47.1160234,-88.5501938,0.038,-0.02,0.006084,0.006084,,,,1.76E+18
47.1160234,-88.5501939,-0.018,0.017,0.007744,0.007744,,,,1.76E+18
47.1160234,-88.5501938,0.005,-0.011,0.009604,0.009604,,,,1.76E+18
47.1160234,-88.5501938,0.006,0.014,0.007396,0.007396,,,,1.76E+18
47.1160234,-88.5501939,-0.015,-0.007,0.003969,0.003969,,,,1.76E+18
47.1160234,-88.5501938,0.013,-0.005,0.0049,0.0049,,,,1.76E+18
47.1160234,-88.5501938,0.013,0.018,0.006241,0.006241,,,,1.76E+18
47.1160234,-88.5501938,-0.031,0.01,0.005184,0.005184,,,,1.76E+18
47.1160234,-88.5501939,-0.009,0.01,0.008649,0.008649,,,,1.76E+18
47.1160234,-88.5501938,0.002,0.011,0.009025,0.009025,,,,1.76E+18
47.1160234,-88.5501938,-0.017,-0.009,0.003969,0.003969,,,,1.76E+18
47.1160234,-88.5501938,0.01,-0.001,0.003721,0.003721,,,,1.76E+18
47.1160234,-88.5501938,-0.011,0.009,0.006889,0.006889,,,,1.76E+18
47.1160235,-88.5501938,-0.004,0.033,0.010816,0.010816,,,,1.76E+18
47.1160234,-88.5501938,0.005,0.005,0.007225,0.007225,,,,1.76E+18
47.1160234,-88.5501938,-0.002,0.014,0.009409,0.009409,,,,1.76E+18
47.1160234,-88.5501938,0.003,-0.009,0.007056,0.007056,,,,1.76E+18
47.1160234,-88.5501938,-0.01,-0.009,0.005329,0.005329,,,,1.76E+18
47.1160234,-88.5501938,0.001,-0.009,0.006561,0.006561,,,,1.76E+18
47.1160234,-88.5501938,0.007,0.021,0.0081,0.0081,,,,1.76E+18
47.1160234,-88.5501938,0.008,-0.042,0.009604,0.009604,,,,1.76E+18
47.1160234,-88.5501938,-0.028,0.009,0.004489,0.004489,,,,1.76E+18
47.1160234,-88.5501939,-0.031,0.007,0.005041,0.005041,,,,1.76E+18
47.1160234,-88.5501938,0.023,0.021,0.0049,0.0049,,,,1.76E+18
47.1160234,-88.5501938,0.007,-0.041,0.009409,0.009409,,,,1.76E+18
47.1160234,-88.5501938,0.005,-0.02,0.0081,0.0081,,,,1.76E+18
47.1160234,-88.5501938,-0.035,-0.019,0.004225,0.004225,,,,1.76E+18
47.1160234,-88.5501938,0.01,-0.002,0.0049,0.0049,,,,1.76E+18
47.1160234,-88.5501938,0.007,0.007,0.006241,0.006241,,,,1.76E+18
47.1160235,-88.5501938,-0.013,0.043,0.009801,0.009801,,,,1.76E+18
47.1160235,-88.5501938,0.01,0.011,0.005625,0.005625,,,,1.76E+18
47.1160235,-88.5501938,-0.012,0.019,0.009216,0.009216,,,,1.76E+18
47.1160235,-88.5501938,-0.01,-0.001,0.003844,0.003844,,,,1.76E+18
47.1160235,-88.5501938,0.008,-0.019,0.009604,0.009604,,,,1.76E+18
47.1160235,-88.5501938,-0.025,-0.003,0.003844,0.003844,,,,1.76E+18
47.1160235,-88.5501938,0.002,-0.033,0.009216,0.009216,,,,1.76E+18
47.1160235,-88.5501938,-0.026,0.01,0.005476,0.005476,,,,1.76E+18
47.1160234,-88.5501938,0.014,-0.043,0.009409,0.009409,,,,1.76E+18
47.1160234,-88.5501938,0.001,-0.003,0.01,0.01,,,,1.76E+18
47.1160234,-88.5501938,0.012,0.012,0.005625,0.005625,,,,1.76E+18
47.1160234,-88.5501938,0.003,0.006,0.008649,0.008649,,,,1.76E+18
47.1160234,-88.5501938,0.005,-0.001,0.009216,0.009216,,,,1.76E+18
47.1160234,-88.5501938,0.01,0.032,0.008464,0.008464,,,,1.76E+18
47.1160233,-88.5501938,-0.011,-0.044,0.009216,0.009216,,,,1.76E+18
47.1160233,-88.5501938,-0.005,-0.016,0.008836,0.008836,,,,1.76E+18
47.1160233,-88.5501938,-0.003,-0.008,0.007056,0.007056,,,,1.76E+18
47.1160233,-88.5501938,0.011,-0.036,0.01,0.01,,,,1.76E+18
47.1160233,-88.5501938,-0.016,0.04,0.009025,0.009025,,,,1.76E+18
47.1160233,-88.5501938,0.012,0.027,0.006889,0.006889,,,,1.76E+18
47.1160233,-88.5501939,-0.044,0.039,0.006724,0.006724,,,,1.76E+18
47.1160233,-88.5501939,-0.026,-0.051,0.007396,0.007396,,,,1.76E+18
47.1160233,-88.5501939,-0.001,-0.004,0.006241,0.006241,,,,1.76E+18
47.1160233,-88.5501939,-0.017,0.031,0.008464,0.008464,,,,1.76E+18
47.1160233,-88.5501939,-0.002,-0.105,0.008836,0.008836,,,,1.76E+18
47.1160233,-88.5501939,-0.05,-0.048,0.005625,0.005625,,,,1.76E+18
47.1160235,-88.5501938,0.027,0.151,0.008464,0.008464,,,,1.76E+18
47.1160234,-88.5501938,-0.002,-0.054,0.007744,0.007744,,,,1.76E+18
47.1160234,-88.5501938,-0.009,-0.018,0.005329,0.005329,,,,1.76E+18
47.1160234,-88.5501939,-0.012,0.024,0.007056,0.007056,,,,1.76E+18
47.1160234,-88.5501938,0.033,0.02,0.0036,0.0036,,,,1.76E+18
47.1160235,-88.5501938,0.012,0.061,0.005625,0.005625,,,,1.76E+18
47.1160235,-88.5501939,-0.027,0.019,0.006084,0.006084,,,,1.76E+18
47.1160234,-88.5501939,-0.024,0,0.004761,0.004761,,,,1.76E+18
47.1160234,-88.5501939,0.013,-0.016,0.007744,0.007744,,,,1.76E+18
47.1160233,-88.5501938,0.017,-0.136,0.008281,0.008281,,,,1.76E+18
47.1160233,-88.5501938,0.006,0.028,0.006241,0.006241,,,,1.76E+18
47.1160233,-88.5501938,-0.024,0.015,0.006889,0.006889,,,,1.76E+18
47.1160233,-88.5501938,0.018,0.009,0.003249,0.003249,,,,1.76E+18
